ProviderName,LicenseType,ProviderType,ProviderTypeDescription,QualityRating,QualityRatingDescription,ProviderCapacity,PhysicalCity,PhysicalZipCode,CountyNumber,CountyName,PhoneNumber,Gender,Age,Slots
Janice Ellen Koon,UNLICENSED,6,Relative In-Home,0,Not Rated,5,CORINTH,38834,2,ALCORN,601-868-1838,2,"2,3",0
Janice Hatley,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,HOUSTON,38851,9,CHICKASAW,601-868-2303,1,"4,5",1
Janice Lawrence,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,CRYSTAL SPRINGS,39059,15,COPIAH,601-870-9589,3,4,0
Janice McCain,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,601-873-6964,2,"3,4",0
Janice Rholes Keeton,UNLICENSED,6,Relative In-Home,0,Not Rated,5,MOUND BAYOU,38762,6,BOLIVAR,601-874-5810,1,5,0
Janice Schaible,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,LEXINGTON,39095,26,HOLMES,601-876-3645,3,5,1
Janie B. Hinojosa,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,CLINTON,39056,25,HINDS,601-876-4608,2,"1,2",1
Janie Galan,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,ROSEDALE,38769,6,BOLIVAR,601-876-5922,1,2,0
Janie Mary Monserrate,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,601-876-9060,3,1,1
Janie Vasquez,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,CLEVELAND,38732,6,BOLIVAR,601-876-9480,2,"2,3",0
Janis Eileen Moore,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,LORMAN,39096,11,CLAIBORNE,601-876-9763,1,1,0
Janis Simmons,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,WOODLAND,39776,9,CHICKASAW,601-877-3836,3,"2,3",0
Jannifer Robinson Bailey,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JACKSON,39203,25,HINDS,601-877-6255,2,1,0
Jaquata Fay Stout,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,CLINTON,39056,25,HINDS,601-878-0250,1,"1,2",0
Jasmine  Espinoza,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,601-879-3999,1,2,1
Jasmine Foots,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,HERMANVILLE,39086,11,CLAIBORNE,601-879-4338,3,2,2
Jasmine Henry White,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JACKSON,39213,25,HINDS,601-879-9053,2,1,0
Jatoya Akinyele,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,ISOLA,38754,27,HUMPHREYS,601-879-9500,1,"1,2",0
Javier A Colchado,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39204,25,HINDS,601-879-9824,3,"1,2,3",0
Jayashree Doreswamy,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,PORT GIBSON,39150,11,CLAIBORNE,601-880-3735,2,3,0
Jazika Levario,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JONESTOWN,38639,14,COAHOMA,601-880-6334,3,"4,5",0
Jazmin Davis,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,601-880-6601,2,"3,4",0
Jean Denise Espedal,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,QUITMAN,39355,12,CLARKE,601-883-9859,1,"1,2",0
Jean Norman,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,601-885-2123,3,1,0
Jean Vera,UNLICENSED,6,Relative In-Home,0,Not Rated,5,GOODMAN,39079,26,HOLMES,601-885-2403,2,"2,3",0
Jean Wood,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,HOUSTON,38851,9,CHICKASAW,601-885-7063,1,"4,5",1
Jeanelle H Montet,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39203,25,HINDS,601-886-3220,3,4,0
Jeanette Marie Zoeller,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MOUND BAYOU,38762,6,BOLIVAR,601-886-7182,2,"3,4",1
Jeanne  Clinton,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,601-886-7480,1,5,1
Jeannette Shafer,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,CLEVELAND,38732,6,BOLIVAR,601-886-7663,3,5,1
Jeannie Baker,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,SHELBY,38774,6,BOLIVAR,601-886-9932,2,"1,2",0
Jelita Caldwell,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,HATTIESBURG,39401,18,FORREST,601-887-3909,1,2,0
Jenise Lewis,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BOLTON,39041,25,HINDS,601-887-8114,3,1,1
Jenlizbeth Risien,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,GUNNISON,38746,6,BOLIVAR,601-887-9084,2,"2,3",0
Jenni Diggs,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,CLEVELAND,38732,6,BOLIVAR,601-888-3400,1,1,0
Jennifer   Smith,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,HERMANVILLE,39086,11,CLAIBORNE,601-888-3744,3,"2,3",0
Jennifer  Luman,UNLICENSED,6,Relative In-Home,0,Not Rated,5,GUNNISON,38746,6,BOLIVAR,601-888-4309,2,1,1
Jennifer  Myers,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,601-888-4575,1,"1,2",1
Jennifer Annette Garza,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,HORN LAKE,38637,17,DESOTO,601-888-4655,1,2,0
Jennifer Annette McCollough,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,NATCHEZ,39120,1,ADAMS,601-888-4950,3,2,1
Jennifer Beech,UNLICENSED,6,Relative In-Home,0,Not Rated,5,SILVER CITY,39166,27,HUMPHREYS,601-892-0821,2,1,0
Jennifer Benton,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,HATTIESBURG,39402,37,LAMAR,601-892-1743,1,"1,2",0
Jennifer Brad,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,ISOLA,38754,27,HUMPHREYS,601-892-1825,3,"1,2,3",1
Jennifer Britt,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,SHELBY,38774,6,BOLIVAR,601-892-2271,2,3,2
Jennifer Copeland,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,CRYSTAL SPRINGS,39059,15,COPIAH,601-892-2379,3,"4,5",0
Jennifer Darnell,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MOUND BAYOU,38762,6,BOLIVAR,601-892-3172,2,"3,4",0
Jennifer Dawn Ring,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CLEVELAND,38732,6,BOLIVAR,601-892-6128,1,"1,2",0
Jennifer Denise Taylor,UNLICENSED,6,Relative In-Home,0,Not Rated,5,PORT GIBSON,39150,11,CLAIBORNE,601-892-7726,3,1,0
Jennifer Dorothy Russell,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,HOULKA,38850,9,CHICKASAW,601-892-8911,2,"2,3",0
Jennifer Finnerty,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-892-8972,1,"4,5",0
Jennifer Fyffe,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-894-0077,3,4,0
Jennifer Gabriel,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JONESTOWN,38639,14,COAHOMA,601-894-1427,2,"3,4",0
Jennifer Grantham,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JONESTOWN,38639,14,COAHOMA,601-894-2620,1,5,0
Jennifer Hayes,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,ROSEDALE,38769,6,BOLIVAR,601-894-3115,3,5,1
Jennifer Henderson,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CLEVELAND,38732,6,BOLIVAR,601-894-4577,2,"1,2",0
Jennifer Hernandez,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,601-894-5111,1,2,1
Jennifer Hibbs,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,GULFPORT,39501,24,HARRISON,601-894-5528,3,1,1
Jennifer Holman,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39202,25,HINDS,601-894-6577,2,"2,3",1
Jennifer Holt,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CLINTON,39056,25,HINDS,601-894-8569,1,1,0
Jennifer Ikey,UNLICENSED,6,Relative In-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-894-8569,3,"2,3",0
Jennifer Lee Thompson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,ISOLA,38754,27,HUMPHREYS,601-896-4611,2,1,1
Jennifer McLean,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,HOUSTON,38851,9,CHICKASAW,601-896-6047,3,"1,2",0
Jennifer Mendez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,WINSTONVILLE,38781,6,BOLIVAR,601-897-0731,2,2,0
Jennifer Miller,UNLICENSED,6,Relative In-Home,0,Not Rated,5,SALLIS,39160,4,ATTALA,601-897-0767,1,2,0
Angela Steward,LICENSED,3,Group Home,0,Not Rated,5,PORT GIBSON,39150,11,CLAIBORNE,601-898-0045,3,1,1
Jennifer Moffatt,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MOUND BAYOU,38762,6,BOLIVAR,601-898-3441,2,"1,2",1
Jennifer Morgan-Chamlee,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GULFPORT,39501,24,HARRISON,601-900-3182,1,"1,2,3",0
Jennifer Nordling,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,JACKSON,39272,25,HINDS,601-900-5493,3,3,1
Jennifer Roberts,UNLICENSED,6,Relative In-Home,0,Not Rated,5,HOUSTON,38851,9,CHICKASAW,601-900-5691,2,"4,5",0
Jennifer Smith,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,TCHULA,39169,26,HOLMES,601-900-9381,1,"3,4",0
Jennifer Sweet,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39204,25,HINDS,601-906-3125,3,"1,2",0
Jennifer Turner,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,LIBERTY,39664,3,AMITE,601-906-3466,2,"1,2",0
Jennifer Weaver,UNLICENSED,6,Relative In-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-906-5129,1,1,0
Jenniffer Moore,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,PATTISON,39144,11,CLAIBORNE,601-909-2549,3,"2,3",0
Jenny Boswell,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,CRYSTAL SPRINGS,39059,15,COPIAH,601-909-2549,2,"4,5",0
Jenny Manuela Torres,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-909-2672,1,4,0
Jenny McGinnes,UNLICENSED,6,Relative In-Home,0,Not Rated,5,NATCHEZ,39120,1,ADAMS,601-913-3772,3,"3,4",1
Jenny Powers,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MOSS POINT,39562,30,JACKSON,601-914-0291,2,5,2
Jeraline  Clark,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,LUCEDALE,39452,20,GEORGE,601-914-9978,1,5,0
Jerolyn Jones,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,HATTIESBURG,39401,18,FORREST,601-917-2251,1,"1,2",0
Jesica Hayes,UNLICENSED,6,Relative In-Home,0,Not Rated,5,LEAKESVILLE,39451,21,GREENE,601-917-4317,3,2,0
Jessica   Tatum,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,LOUISE,39097,27,HUMPHREYS,601-917-5311,2,1,0
Jessica  Frazier,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,PORT GIBSON,39150,11,CLAIBORNE,601-917-8693,1,"2,3",0
Jessica  Gray,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CRYSTAL SPRINGS,39059,15,COPIAH,601-917-9639,3,1,0
Jessica  Tinoco,UNLICENSED,6,Relative In-Home,0,Not Rated,5,GULFPORT,39501,24,HARRISON,601-918-3418,2,"2,3",0
Jessica Allen,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,NATCHEZ,39120,1,ADAMS,601-918-4557,3,1,0
Jessica Ann Garcia,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MC COOL,39108,10,CHOCTAW,601-918-5739,2,"1,2",0
Jessica Ayala,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,PORT GIBSON,39150,11,CLAIBORNE,601-918-6528,1,2,1
Jessica Baker,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JACKSON,39203,25,HINDS,601-918-6937,3,2,0
Jessica Brooks,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-918-8581,2,1,1
Jessica Burns,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-919-0065,1,"1,2",1
Jessica Castillo,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,NATCHEZ,39120,1,ADAMS,601-919-0390,3,"1,2,3",1
Jessica Cervantes,UNLICENSED,6,Relative In-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-919-0390,2,3,0
Jessica Champion,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,CLEVELAND,38732,6,BOLIVAR,601-919-6861,1,"4,5",0
Jessica Criss,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-919-7041,3,"3,4",1
Jessica Culp,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GUNNISON,38746,6,BOLIVAR,601-920-9046,2,"1,2",0
Jessica Krumm,UNLICENSED,6,Relative In-Home,0,Not Rated,5,CLINTON,39056,25,HINDS,601-922-0572,1,1,0
Jessica Leftault,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,HOUSTON,38851,9,CHICKASAW,601-922-1451,3,"2,3",0
Jessica Leos,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,FAYETTE,39069,32,JEFFERSON,601-922-1999,2,"4,5",1
Jessica Mace,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GULFPORT,39503,24,HARRISON,601-922-3338,1,4,1
Jessica Marie Gomez,UNLICENSED,6,Relative In-Home,0,Not Rated,5,OKOLONA,38860,9,CHICKASAW,601-922-3693,3,"3,4",0
Jessica Phillips,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MC COOL,39108,4,ATTALA,601-922-4237,2,5,1
Jessica Rae Talbert,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,NATCHEZ,39120,1,ADAMS,601-922-4924,1,5,0
Jessica Rodriguez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,ETHEL,39067,4,ATTALA,601-922-5530,1,"1,2",0
Jessica Ruth Henry,UNLICENSED,6,Relative In-Home,0,Not Rated,5,GRENADA,38901,22,GRENADA,601-922-6003,3,2,0
Jessica Tolbert,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,WEST POINT,39773,13,CLAY,601-922-6165,2,1,0
Jessica Valencia,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,601-922-6292,1,"2,3",0
Jessica Webster,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BYRAM,39272,25,HINDS,601-922-6413,3,1,0
Jessie Driver,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,601-922-6488,2,"2,3",0
Jesusa  Montero,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,601-922-8060,3,1,0
Jewel Anthony-Rolling,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,SHUBUTA,39360,12,CLARKE,601-922-8088,2,"1,2",1
Jhansi Solasa,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,SCOTT,38772,6,BOLIVAR,601-922-8145,1,2,2
Jill Davis,UNLICENSED,6,Relative In-Home,0,Not Rated,5,SILVER CITY,39166,27,HUMPHREYS,601-922-8150,3,2,0
Jill Price,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,LEAKESVILLE,39451,21,GREENE,601-922-9344,2,1,0
Jillian G Barnes,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,LEXINGTON,39095,26,HOLMES,601-923-0899,1,"1,2",0
Jinon McCormick,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-923-2543,3,"1,2,3",0
Jo Alice Hodge,UNLICENSED,6,Relative In-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-923-2546,2,3,0
Jo Anne Robinson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,ROSEDALE,38769,6,BOLIVAR,601-923-2559,1,"4,5",0
Jo Mendoza,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,LYON,38645,14,COAHOMA,601-923-9120,3,"3,4",0
Joan  Wyche,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-924-0315,2,"1,2",0
Joan Justice-Cortez,UNLICENSED,6,Relative In-Home,0,Not Rated,5,ROSEDALE,38769,6,BOLIVAR,601-924-2273,1,1,0
Joanda Zuniga,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JACKSON,39213,25,HINDS,601-924-4771,3,"2,3",1
Joanie Marie Kirk,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,SALLIS,39160,4,ATTALA,601-924-5577,2,"4,5",0
Joann Coleman,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,601-924-5689,1,4,1
Joann Dews,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BUDE,39630,19,FRANKLIN,601-924-5812,3,"3,4",1
JoAnn Johnson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-924-8503,2,5,1
JoAnn Wilson,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,DURANT,39063,26,HOLMES,601-924-8503,1,5,0
Joanna  Bedford,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GULFPORT,39503,24,HARRISON,601-925-1810,1,"1,2",0
JoAnna  Washington,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,601-925-5001,3,2,1
JoAnna Quinn,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,GOODMAN,39079,26,HOLMES,601-925-5437,2,1,0
Joanney Rigdon,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,LIBERTY,39664,3,AMITE,601-925-5919,1,"2,3",0
Jocelyn Towanda Williams,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BYRAM,39272,25,HINDS,601-925-6428,3,1,0
Jodi Brown,UNLICENSED,6,Relative In-Home,0,Not Rated,5,PORT GIBSON,39150,11,CLAIBORNE,601-927-5696,2,"2,3",1
Jodi Coley,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,DUNCAN,38740,6,BOLIVAR,601-928-0081,3,1,1
Jodi Moore,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,LEXINGTON,39095,26,HOLMES,601-928-1505,2,"1,2",0
Jody Carleen Thomas,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-928-2509,1,2,1
Jody Conner Keddy,UNLICENSED,6,Relative In-Home,0,Not Rated,5,LOUISE,39097,27,HUMPHREYS,601-928-4378,3,2,0
Joetta (Joey) Tonti,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,HATTIESBURG,39402,37,LAMAR,601-932-1808,2,1,0
Johna Stark,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-932-2182,1,"1,2",0
Johnie  Bottoms,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GLOSTER,39638,3,AMITE,601-932-4006,3,"1,2,3",0
Johnie Baldwin,UNLICENSED,6,Relative In-Home,0,Not Rated,5,NATCHEZ,39120,1,ADAMS,601-932-7742,2,3,0
Johnnie Carol Hill,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,601-932-7905,1,"4,5",0
Johnnie Eakles,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,DUNCAN,38740,6,BOLIVAR,601-934-0636,3,"3,4",0
Johnnie Sutton,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-934-2155,2,"1,2",0
Jolee Wilson,UNLICENSED,6,Relative In-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,601-934-3472,1,1,1
Jolesia  Williams,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,PORT GIBSON,39150,11,CLAIBORNE,601-934-4176,3,"2,3",2
Joli G. Felton,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39206,25,HINDS,601-934-5721,2,"4,5",0
Jolian   Drain,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,601-934-7336,1,4,0
Joni Mackey,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JACKSON,39213,25,HINDS,601-934-8978,3,"3,4",0
Jonna Allen,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,SHUBUTA,39360,12,CLARKE,601-935-1335,2,5,0
Jonna Byers/Tiny Toes Home Care,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-935-8433,3,5,0
Jonna Taft,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,SHAW,38773,6,BOLIVAR,601-936-5510,2,"1,2",0
Jordan Crumbaker,UNLICENSED,6,Relative In-Home,0,Not Rated,5,CORINTH,38834,2,ALCORN,601-937-0103,1,2,0
Joscanie Dotson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,601-937-0767,3,1,0
Jose Isidro Alvarez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,CLEVELAND,38732,6,BOLIVAR,601-937-0767,2,"2,3",0
Josefa Cantu Ortiz,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,ACKERMAN,39735,10,CHOCTAW,601-938-0923,1,1,1
Josefina Gilbert,UNLICENSED,6,Relative In-Home,0,Not Rated,5,PORT GIBSON,39150,11,CLAIBORNE,601-938-2104,3,"2,3",0
Josefina N Cisneros,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MOUND BAYOU,38762,6,BOLIVAR,601-938-9490,2,1,1
Joselyn  Brager,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,SALLIS,39160,4,ATTALA,601-939-2666,1,"1,2",1
Josephine  Benavides,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,NATCHEZ,39120,1,ADAMS,601-939-2666,3,2,1
Josie  Bunch,UNLICENSED,6,Relative In-Home,0,Not Rated,5,NATCHEZ,39120,1,ADAMS,601-939-7117,2,2,0
Josy Johnson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,PITTSBORO,38951,7,CALHOUN,601-939-7429,1,1,0
Jova  Sanchez Lucero,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,LIBERTY,39664,3,AMITE,601-939-8386,3,"1,2",1
Jovita O Aranda,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CRYSTAL SPRINGS,39059,15,COPIAH,601-940-2104,2,"1,2,3",0
Joy Anne Hicks,UNLICENSED,6,Relative In-Home,0,Not Rated,5,CLINTON,39056,25,HINDS,601-941-1574,1,3,0
Joyce  Clack,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,QUITMAN,39355,12,CLARKE,601-941-5808,3,"4,5",0
Joyce  Galiber,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-941-8874,2,"3,4",1
Joyce Baker,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,LIBERTY,39664,3,AMITE,601-942-6496,1,"1,2",1
Joyce Jobe,UNLICENSED,6,Relative In-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-943-5582,1,"1,2",0
Joyce Lorrain Petty,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,SALLIS,39160,4,ATTALA,601-943-6241,3,1,1
Joyce Marie Kees,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-944-0044,2,"2,3",0
Juan  Villalobos,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,LAMAR,38642,5,BENTON,601-944-0044,1,"4,5",0
Juana  Alvarez,UNLICENSED,6,Relative In-Home,0,Not Rated,5,HICKORY FLAT,38633,5,BENTON,601-944-1507,3,4,0
Juana  Medina,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,PATTISON,39144,11,CLAIBORNE,601-944-9857,2,"3,4",0
Juana  Quinones,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,HATTIESBURG,39402,37,LAMAR,601-945-5288,3,5,0
Juana M Gomez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CORINTH,38834,2,ALCORN,601-946-5217,2,5,0
Juana Pina,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BATESVILLE,38606,54,PANOLA,601-947-0124,1,"1,2",0
Juana Rodriguez Jaime,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,GULFPORT,39501,24,HARRISON,601-947-4323,3,2,0
Juanita  Meza,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,PATTISON,39144,11,CLAIBORNE,601-947-4774,2,1,1
Juanita  Smith,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CORINTH,38834,2,ALCORN,601-947-5028,1,"2,3",2
Juanita Deahl,UNLICENSED,6,Relative In-Home,0,Not Rated,5,NATCHEZ,39120,1,ADAMS,601-947-6424,3,1,0
Juanita Marisela Villa,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,CLEVELAND,38732,6,BOLIVAR,601-947-6982,2,"2,3",0
Juanita R. Castrejon,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,NATCHEZ,39120,1,ADAMS,601-947-7438,1,1,0
Juanita Rendon,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,KOSCIUSKO,39090,4,ATTALA,601-948-0822,3,"1,2",0
Judi Oliver,UNLICENSED,6,Relative In-Home,0,Not Rated,5,SHUBUTA,39360,12,CLARKE,601-948-1622,2,2,0
